X1,X2,X3,X4,Y
7.953067040748516003e-01,2.977064556012166685e-01,6.905133494256310289e-01,7.116646261627799230e-01,9.056909219735740635e+02
8.645677570139623791e-01,4.698918009850441280e-01,6.772557640585065153e-01,7.156485674042776246e-01,5.433573830610777833e+01
8.592913673462548863e-01,2.656563755182838049e-01,7.870240969797223096e-01,6.543326729548007981e-01,2.984453584290332401e+03
8.480293752938403706e-01,1.962719043078135495e-01,7.390899432818623938e-01,8.144377193922074376e-01,1.964786670359794152e+04
8.000717624884267076e-01,3.670354812023471913e-01,6.223505178007869842e-01,5.124894178000795053e-01,2.288536071678220907e+01
7.901927417952836485e-01,1.830858144518286990e-01,7.048537915004359222e-01,8.228097222645216480e-01,1.532345890929308553e+04
8.030949223417034322e-01,4.067792741719534200e-01,4.992260173500181475e-01,7.033548028396428009e-01,1.302619592102117529e+01
7.511110058188723571e-01,9.491633169814076010e-02,9.399356617795413538e-01,9.507577360679182465e-01,3.751971326426145621e+06
7.844159484304173979e-01,3.245756889826137970e-01,7.120287778289920988e-01,5.449392220359188244e-01,1.798168008767816559e+02
7.901093688526659164e-01,4.645715735009370295e-01,6.887298343212326923e-01,6.636739389585220028e-01,3.855444326486855289e+01
7.859241186578136418e-01,6.538579591521809231e-02,9.410582282999770953e-01,9.187001183565131068e-01,3.481658469761558808e+06
8.786038323919739268e-01,3.360969721948594557e-01,6.176087416677056297e-01,6.808491143592000361e-01,1.368768294248333177e+02
8.352565246737683191e-01,1.180118457647998664e-01,7.690090349973911499e-01,8.496730497902168500e-01,1.083273301011297881e+05
7.712280505910056316e-01,2.738685721944560392e-01,8.546853263539351264e-01,8.338062204159086832e-01,4.333589204508587136e+04
6.654149033537837266e-01,8.423085302685379139e-02,9.201086704044380005e-01,9.587635326485742793e-01,3.545886328493153211e+06
8.195695847060617822e-01,4.399329946741128983e-01,7.197691016058891389e-01,6.267379965107129358e-01,5.826474330359821607e+01
6.760183982974640182e-01,7.942331665516642880e-02,9.293650435210103478e-01,9.570558362535218633e-01,4.088793179757821374e+06
8.576135120433885373e-01,5.064140227935823857e-01,5.909706336941110694e-01,6.326006033677107343e-01,4.521906876682329823e+00
7.817146164811521469e-01,3.110779269899573429e-01,5.169027085754345219e-01,7.444052625501081932e-01,7.919989485856542899e+01
8.162377046048896467e-01,3.705970194566561293e-01,6.059684150026377614e-01,6.469664686763557659e-01,5.075950862856780788e+01
6.646026243716062210e-01,6.681142259277911277e-02,9.272738952071609697e-01,9.587319110261767197e-01,4.561164203680142760e+06
8.152634762565935667e-01,3.949284574229456890e-01,6.673378535421424784e-01,6.354782730484254127e-01,6.929476722954903778e+01
7.479515830393975717e-01,1.118793293307196457e-01,9.258422498138596524e-01,8.996239073732794633e-01,1.471972437378901523e+06
8.425469212838553323e-01,1.655283323238825322e-01,7.606731470123666572e-01,7.331665323903577836e-01,1.864109280438602946e+04
8.950892307044581164e-01,2.766109960043848792e-01,8.369173292772935646e-01,7.849796807450472036e-01,1.866244394959206693e+04
8.438027011957931478e-01,4.118665352551834635e-01,5.369398357985547543e-01,6.082175343868736483e-01,8.433303383749231941e+00
8.297608447621921401e-01,3.162200400660356570e-01,7.450589964152869449e-01,6.526122222934542805e-01,8.022107498159317629e+02
7.927679792967100569e-01,3.661734945590854329e-01,5.732575946248101850e-01,5.790217165914453012e-01,2.085566626543491608e+01
8.875553335528808541e-01,3.780723994576218328e-01,7.429774527878675316e-01,6.258601076500489580e-01,2.196259697313459185e+02
8.409770996566511281e-01,3.335803671298502859e-01,6.370286547545420675e-01,5.954713779895174364e-01,9.126384749785026429e+01
8.687466517711509573e-01,2.642849819621017615e-01,8.090337855860367799e-01,6.476206122117115216e-01,3.685065698455738584e+03
8.438144444712800674e-01,2.858086636344742693e-01,6.788610449785219547e-01,6.887424561564861047e-01,7.502326935111728972e+02
8.093537687136425074e-01,4.787338752559395783e-01,6.622527373664981454e-01,5.759682829920812486e-01,8.857894558024092646e+00
8.093961944287304533e-01,3.576327557021276582e-01,7.155800696755520995e-01,7.037568771792815925e-01,4.727758009656093918e+02
8.789397740971250927e-01,4.524565476770580075e-01,6.094566810979225036e-01,6.829326411196467994e-01,2.072104169483326785e+01
8.199821172290074900e-01,8.555638788851099852e-02,7.231012579445400545e-01,7.567701677713796204e-01,3.921287962133901601e+04
8.348506319464641390e-01,5.038040307593465439e-01,7.242481638803111021e-01,5.438588499799501541e-01,8.238282849822308407e+00
8.160559602171625349e-01,3.369502163170557396e-01,6.917088902849537480e-01,7.117180736881933978e-01,5.072556541571717048e+02
6.900739820090778798e-01,8.174716971450278480e-02,9.273843072900614937e-01,9.509782687179384464e-01,3.638915624640031252e+06
8.346500277981530047e-01,3.211267579910466741e-01,7.125429761700657894e-01,6.902551659355560254e-01,6.993127610789889559e+02
7.198636485956725339e-01,6.915552957936700607e-02,9.309942779677864433e-01,9.354757977087543308e-01,3.591687681116530672e+06
7.652708137630079843e-01,8.152989599871660054e-02,8.949375886217517673e-01,9.460350485003615750e-01,2.281901877127570566e+06
8.144367900514658531e-01,3.627997671589839324e-01,6.942683689373558842e-01,5.393897303963511858e-01,7.155541929871765205e+01
7.351510431417215274e-01,6.184198480982868590e-02,9.409439574433838827e-01,9.660776784987046284e-01,6.163240689949543215e+06
8.156805176746287911e-01,2.645280597652691079e-01,5.654618836615447064e-01,7.826190117040158212e-01,4.224147243190695917e+02
8.057441118394962354e-01,3.218737750785288232e-01,5.660118664390619836e-01,6.684694175294640939e-01,7.491076835351086061e+01
7.696265708328390298e-01,1.055573035902662854e-01,9.219948864100774300e-01,9.149666668290054039e-01,1.786327869587199064e+06
8.197818673122049260e-01,5.373687475961710369e-01,5.338249715677563234e-01,5.645480586226845343e-01,1.000000000000000000e+00
7.943337248787186722e-01,3.194881400505306668e-01,7.062655017871812824e-01,6.032565905324909217e-01,2.980041508341235499e+02
7.994776945363633036e-01,3.624768175691684968e-01,5.717024596241218060e-01,5.823266478116748690e-01,2.226008222563875449e+01
7.975660232272946404e-01,3.091812154489305131e-01,7.431760866309146119e-01,8.831468343736926796e-01,1.007323036923860127e+04
7.989034062212559961e-01,3.241077941318329936e-01,6.494318702223514927e-01,5.405421754693764402e-01,8.228490593325800262e+01
8.644944758313509725e-01,4.513928037207131649e-01,5.468981232574624540e-01,5.411191960753040098e-01,3.064138292850857148e+00
8.796805951200639129e-01,3.498322386311825127e-01,8.473867556033954918e-01,8.011838698188404884e-01,9.600609204758908163e+03
8.398129318772314944e-01,3.588081372533047375e-01,6.940457244539832704e-01,7.294750457540899458e-01,4.485610550603543061e+02
8.165749687523898848e-01,5.173432986703605518e-01,5.901730118285775095e-01,5.485969947777682432e-01,1.716943478407351842e+00
7.847919636013848121e-01,3.857659689412946125e-01,6.905936154997682763e-01,5.903400457865224382e-01,7.148174732220803662e+01
8.495520542884740234e-01,4.078957816987109353e-01,6.303771765714849540e-01,6.298987603690745507e-01,3.296167482928296266e+01
7.833672813495907716e-01,1.274330363286791945e-01,6.559193458765909535e-01,7.248636857195297489e-01,7.125106055817101151e+03
7.912447640514526093e-01,3.781361160077124084e-01,6.543419719792137323e-01,7.472069133083616421e-01,2.265813582922233991e+02
8.516159845543295193e-01,2.918065470203319856e-01,5.110029026812902275e-01,5.585015038840055457e-01,2.744130523211059014e+01
8.651652970988229496e-01,4.288382986931988938e-01,7.096979219991816912e-01,6.555539355164190507e-01,8.391278260230032515e+01
7.633051622915510981e-01,1.485993909855917727e-01,9.470549041767454268e-01,8.961715317462561892e-01,1.245889362359639024e+06
8.311127676584645352e-01,5.060219418634208655e-01,5.522815721744399609e-01,5.855492028709143870e-01,2.071816455180172767e+00
8.300678579039447724e-01,2.605340623773363395e-01,5.632225365025119723e-01,7.760715670275764033e-01,4.091175903499818105e+02
7.749399518775877960e-01,9.851758625233655864e-02,8.115683508499702548e-01,8.407408319980503864e-01,2.197925502321044623e+05
8.904335301078172282e-01,2.701160364962148508e-01,7.731212319068713201e-01,7.859081138011668743e-01,8.881177903327210515e+03
8.107968488813669383e-01,2.930135941933483812e-01,7.264985300981283700e-01,5.162259653529116532e-01,2.923546441450330349e+02
8.704880818026040634e-01,4.954575283570675781e-01,5.896339103853777130e-01,5.844147064893415733e-01,3.334414953599768250e+00
7.662571474224008083e-01,8.664098874960218799e-02,8.954114838664842813e-01,9.629893096701180877e-01,2.643552327096590307e+06
7.859677998999109461e-01,8.326272806270690330e-02,9.322854225024435060e-01,9.302913956313154653e-01,3.007673210679387208e+06
6.852635064170129464e-01,7.735152459585824258e-02,9.298792048020279033e-01,9.558552080354317804e-01,4.137819357702011708e+06
8.739849598862737823e-01,4.318727239565013365e-01,6.762075111403105243e-01,6.748027074718966345e-01,6.295243529050257791e+01
8.197213005841252897e-01,3.554021639772632080e-01,6.376414131733026958e-01,6.547236683057969797e-01,1.058694976542476240e+02
7.976199099449281515e-01,2.629691249383296348e-01,7.676010395970378486e-01,7.200592501903517739e-01,4.629234662992854282e+03
7.949073084022248992e-01,3.989534236164896663e-01,7.387259213703288863e-01,6.799571899700960209e-01,2.600776037087611030e+02
7.904166063677118270e-01,2.731427472820133207e-01,5.152308900048266915e-01,5.684671902704895308e-01,4.091689622789862568e+01
8.815893297850163624e-01,3.577828687208570724e-01,5.229492781357825137e-01,6.826569681952926461e-01,2.793638882615524466e+01
8.768961530494104872e-01,4.208989769746602216e-01,6.066501889611944920e-01,6.394360955837372629e-01,2.160202874688956953e+01
8.409279307448408458e-01,3.583072250749262944e-01,5.688286403314446460e-01,5.635827714249191933e-01,2.008623010064293979e+01
7.812670365786905657e-01,5.016454231533740149e-01,7.506042732724360622e-01,5.513103575530974299e-01,1.243008284498343663e+01
